Company Name,Symbol,Industry
3M India Ltd.,3MINDIA,Diversified
Aarti Drugs Ltd.,AARTIDRUGS,Healthcare
Aavas Financiers Ltd.,AAVAS,Financial Services
ABB India Ltd.,ABB,Capital Goods
Abbott India Ltd.,ABBOTINDIA,Healthcare
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services
ACC Ltd.,ACC,Construction Materials
Adani Enterprises Ltd.,ADANIENT,Metals & Mining
Adani Green Energy Ltd.,ADANIGREEN,Power
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services
Adani Transmission Ltd.,ADANITRANS,Power
Advanced Enzyme Tech Ltd.,ADVENZYMES,Fast Moving Consumer Goods
Aegis Logistics Ltd.,AEGISCHEM,Oil Gas & Consumable Fuels
Affle (India) Ltd.,AFFLE,Information Technology
AIA Engineering Ltd.,AIAENG,Capital Goods
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare
Alkem Laboratories Ltd.,ALKEM,Healthcare
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals
Allcargo Logistics Ltd.,ALLCARGO,Services
Alok Industries Ltd.,ALOKINDS,Textiles
Amara Raja Batteries Ltd.,AMARAJABAT,Automobile and Auto Components
Amber Enterprises India Ltd.,AMBER,Consumer Durables
Ambuja Cements Ltd.,AMBUJACEM,Construction Materials
Angel One Ltd.,ANGELONE,Financial Services
Anupam Rasayan India Ltd.,ANURAS,Chemicals
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods
Alembic Pharmaceuticals Ltd.,APLLTD,Healthcare
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare
Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components
Ashok Leyland Ltd.,ASHOKLEY,Capital Goods
Asian Paints Ltd.,ASIANPAINT,Consumer Durables
Aster DM Healthcare Ltd.,ASTERDM,Healthcare
Astral Ltd.,ASTRAL,Capital Goods
AstraZenca Pharma India Ltd.,ASTRAZEN,Healthcare
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels
Atul Ltd.,ATUL,Chemicals
AU Small Finance Bank Ltd.,AUBANK,Financial Services
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare
Avanti Feeds Ltd.,AVANTIFEED,Fast Moving Consumer Goods
Axis Bank Ltd.,AXISBANK,Financial Services
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile and Auto Components
Bajaj Electricals Ltd,BAJAJELEC,Consumer Durables
Bajaj Finserv Ltd.,BAJAJFINSV,Financial Services
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Financial Services
Bajaj Finance Ltd.,BAJFINANCE,Financial Services
Balaji Amines Ltd.,BALAMINES,Chemicals
Balkrishna Industries Ltd.,BALKRISIND,Automobile and Auto Components
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods
Bandhan Bank Ltd.,BANDHANBNK,Financial Services
Bank of Baroda,BANKBARODA,Financial Services
Bank of India,BANKINDIA,Financial Services
BASF India Ltd.,BASF,Chemicals
Bata India Ltd.,BATAINDIA,Consumer Durables
Bayer Cropscience Ltd.,BAYERCROP,Chemicals
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods
Brightcom Group Ltd.,BCG,Information Technology
Bharat Dynamics Ltd.,BDL,Capital Goods
Bharat Electronics Ltd.,BEL,Capital Goods
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables
Bharat Forge Ltd.,BHARATFORG,Capital Goods
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication
Bharat Heavy Electricals Ltd.,BHEL,Capital Goods
Biocon Ltd.,BIOCON,Healthcare
Birla Corporation Ltd.,BIRLACORPN,Construction Materials
Blue Dart Express Ltd.,BLUEDART,Services
Blue Star Ltd.,BLUESTARCO,Consumer Durables
Borosil Renewables Ltd.,BORORENEW,Capital Goods
Bosch Ltd.,BOSCHLTD,Automobile and Auto Components
Bharat Petroleum Corporation Ltd.,BPCL,Oil Gas & Consumable Fuels
Brigade Enterprises Ltd.,BRIGADE,Realty
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods
BSE Ltd.,BSE,Financial Services
Birlasoft Ltd.,BSOFT,Information Technology
Computer Age Management Services Ltd.,CAMS,Financial Services
Canara Bank,CANBK,Financial Services
Can Fin Homes Ltd.,CANFINHOME,Financial Services
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare
Carborundum Universal Ltd.,CARBORUNIV,Capital Goods
Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods
Central Depository Services (India) Ltd.,CDSL,Financial Services
Ceat Ltd.,CEATLTD,Automobile and Auto Components
Central Bank of India,CENTRALBK,Financial Services
Century Plyboards (India) Ltd.,CENTURYPLY,Consumer Durables
Century Textile & Industries Ltd.,CENTURYTEX,Forest Materials
Cera Sanitaryware Ltd,CERA,Consumer Durables
CESC Ltd.,CESC,Power
Capri Global Capital Ltd.,CGCL,Financial Services
CG Power and Industrial Solutions Ltd.,CGPOWER,Capital Goods
Chalet Hotels Ltd.,CHALET,Consumer Services
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals
Chemplast Sanmar Ltd.,CHEMPLASTS,Chemicals
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Financial Services
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services
Cipla Ltd.,CIPLA,Healthcare
Clean Science and Technology Ltd.,CLEAN,Chemicals
Coal India Ltd.,COALINDIA,Oil Gas & Consumable Fuels
Cochin Shipyard Ltd.,COCHINSHIP,Capital Goods
Coforge Ltd.,COFORGE,Information Technology
Colgate Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods
Container Corporation of India Ltd.,CONCOR,Services
Coromandel International Ltd.,COROMANDEL,Chemicals
CreditAccess Grameen Ltd.,CREDITACC,Financial Services
CRISIL Ltd.,CRISIL,Financial Services
